{'easy': 'python', 'score': 0.781, 'hard': 'chainer'}
{'easy': 'python', 'score': 0.893, 'hard': 'flask'}
{'easy': 'python', 'score': 0.688, 'hard': '機械学習'}
{'easy': 'python', 'score': 0.808, 'hard': '自然言語処理'}
{'easy': 'python', 'score': 0.942, 'hard': 'pip'}
{'easy': 'python', 'score': 0.661, 'hard': 'mecab'}
{'easy': 'python', 'score': 1.0, 'hard': 'numpy'}
{'easy': 'python', 'score': 0.942, 'hard': 'anaconda'}
{'easy': 'python', 'score': 0.949, 'hard': 'pandas'}
{'easy': 'python', 'score': 0.603, 'hard': 'deeplearning'}
{'easy': 'python', 'score': 0.651, 'hard': '統計学'}
{'easy': 'python', 'score': 0.983, 'hard': 'scikit-learn'}
{'easy': 'python', 'score': 0.949, 'hard': 'jupyter'}
{'easy': 'python', 'score': 0.909, 'hard': 'pyenv'}
{'easy': 'python', 'score': 0.798, 'hard': 'keras'}
{'easy': 'python', 'score': 0.71, 'hard': 'pycharm'}
{'easy': 'python', 'score': 1.0, 'hard': 'matplotlib'}
{'easy': 'python', 'score': 0.616, 'hard': 'ディープラーニング'}
{'easy': 'python', 'score': 0.704, 'hard': 'opencv'}
{'easy': 'python', 'score': 0.75, 'hard': 'kaggle'}
{'easy': 'python', 'score': 0.913, 'hard': 'django'}
{'easy': 'python', 'score': 0.684, 'hard': 'pytorch'}
{'easy': '機械学習', 'score': 0.631, 'hard': 'scikit-learn'}
{'easy': '自然言語処理', 'score': 0.633, 'hard': 'nlp'}
{'easy': 'deeplearning', 'score': 0.766, 'hard': 'keras'}
{'easy': '機械学習', 'score': 0.611, 'hard': 'chainer'}
{'easy': '機械学習', 'score': 0.71, 'hard': 'machinelearning'}
{'easy': '機械学習', 'score': 0.616, 'hard': 'ニューラルネットワーク'}
{'easy': '機械学習', 'score': 0.665, 'hard': 'deeplearning'}
{'easy': '機械学習', 'score': 0.734, 'hard': '強化学習'}
{'easy': '機械学習', 'score': 0.621, 'hard': 'ai'}
{'easy': '機械学習', 'score': 0.691, 'hard': '論文読み'}
{'easy': '機械学習', 'score': 0.74, 'hard': '人工知能'}
{'easy': '機械学習', 'score': 0.759, 'hard': 'ディープラーニング'}
{'easy': '機械学習', 'score': 0.636, 'hard': '画像認識'}
{'easy': 'deeplearning', 'score': 0.846, 'hard': 'pytorch'}
{'easy': 'deeplearning', 'score': 0.774, 'hard': 'chainer'}
{'easy': 'deeplearning', 'score': 0.685, 'hard': '深層学習'}
{'easy': 'deeplearning', 'score': 0.697, 'hard': 'cnn'}
{'easy': 'deeplearning', 'score': 0.646, 'hard': '強化学習'}
{'easy': 'deeplearning', 'score': 0.791, 'hard': '論文読み'}
